os,cpu,gpu,ram,kernel,driver,cpuscheduler
Steam Runtime 4,AMD Ryzen 5 5600G with Radeon Graphics,AMD Radeon RX 5500 XT (RADV NAVI14),16211312,7.0.10-1-cachyos,,performance
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
59.9319,16.6856,26.5905,0,91,56,72,1779,875,3.95285,93,5.7867,0,3.59255,4416,55272592756
60.2028,16.6105,26.2987,0,89,56,72,1739,875,3.95285,91,5.78659,0,3.59225,4416,56272666238
60.0271,16.6591,26.0586,0,88,56,72,1751,875,3.95285,91,5.78565,0,3.5923,4440,57272747635
59.9808,16.672,25.3289,0,90,56,72,1804,875,3.95285,93,5.78515,0,3.5923,4441,58272828551
60.0212,16.6608,26.634,0,93,56,72,1816,875,3.95285,96,5.78528,0,3.5923,4439,59272905990
60.1901,16.614,27.4959,0,94,56,72,1847,875,3.95285,100,5.78363,0,3.59946,4441,60272988499
59.8327,16.7133,29.5935,0,94,56,72,1847,875,3.95285,99,5.81625,0,3.60298,4416,61273070186
60.0432,16.6547,29.9353,0,98,56,72,1847,875,3.95285,101,5.81652,0,3.60301,4390,62273160249
60.0324,16.6577,29.9674,0,97,56,72,1850,875,3.95285,100,5.78337,0,3.60322,4411,63273239652
60.0415,16.6551,30.2365,0,98,56,72,1850,875,3.95285,101,5.78364,0,3.60322,4407,64273326980
60.0159,16.6622,29.2605,0,97,56,72,1849,875,3.95285,100,5.78814,0,3.61109,4441,65273434475
59.9219,16.6884,28.9389,0,90,56,72,1772,875,3.95285,93,5.788,0,3.61109,4441,66273507106
58.7032,17.0348,30.6947,0,94,56,72,1851,875,3.95285,97,5.78845,0,3.6111,4356,67273590005
60.2504,16.5974,28.9902,0,97,56,73,1851,875,3.95285,101,5.78917,0,3.61075,4414,68273670601
59.8142,16.7184,26.6667,0,92,56,72,1791,875,3.95285,96,5.79268,0,3.61423,4416,69273747529
59.8784,16.7005,27.2575,0,95,56,73,1851,875,3.95285,100,5.79345,0,3.61463,4430,70273837722
59.9694,16.6752,29.6774,0,98,56,73,1846,875,3.95285,104,5.79365,0,3.61463,4430,71273920041
60.2196,16.6059,31.9672,0,99,56,73,1848,875,3.95285,104,5.7936,0,3.61465,4391,72274004693
59.7201,16.7448,30.384,0,98,56,73,1847,875,3.95285,105,5.79269,0,3.6123,4391,73274088264
56.509,17.6963,28.9256,0,99,56,73,1846,875,3.95285,105,5.79269,0,3.6123,4391,74274172526
59.8586,16.706,29.3924,0,99,56,73,1850,875,3.95285,105,5.79284,0,3.6123,4416,75274243724
60.0637,16.649,30.5882,0,98,56,73,1846,875,3.95285,104,5.79356,0,3.61409,4416,76274321053
59.9596,16.6779,29.2808,0,99,56,73,1846,875,3.95285,105,5.79377,0,3.61411,4387,77274732990
59.9868,16.6703,32.0661,0,99,56,73,1849,875,3.95285,104,5.79397,0,3.61291,4366,78274827040
59.9092,16.6919,30.972,0,98,56,73,1846,875,3.95285,103,5.83074,0,3.61037,4366,79274909449
60.1652,16.6209,29.0375,0,96,56,73,1824,875,3.95285,100,5.8282,0,3.6043,4441,80274982420
60.2275,16.6037,27.7868,0,90,56,73,1806,875,3.95285,95,5.79624,0,3.6049,4441,81275058977
59.9891,16.6697,26.7343,0,89,56,73,1751,875,3.95285,93,5.79603,0,3.6049,4441,82275136747
59.7104,16.7475,28.0645,0,84,56,73,1710,875,3.95285,90,5.79622,0,3.6049,4415,83275213435
59.8552,16.707,27.451,0,86,56,73,1794,875,3.95285,93,5.79595,0,3.6049,4442,84275292067
59.8759,16.7012,27.0936,0,89,56,73,1799,875,3.95285,93,5.79679,0,3.60694,4430,85275377902
59.868,16.7034,28.0066,0,92,56,73,1851,875,3.95285,96,5.79594,0,3.60761,4441,86275454500
60.0185,16.6615,28.8245,0,95,56,73,1849,875,3.95285,100,5.79582,0,3.60757,4416,87275530717
60.047,16.6536,29.44,0,91,56,73,1772,875,3.95285,97,5.79592,0,3.60757,4415,88275609188
59.8759,16.7012,29.7428,0,91,56,73,1836,875,3.95285,97,5.79557,0,3.607,4441,89275721873
59.989,16.6697,29.2407,0,89,56,73,1839,875,3.95285,96,5.79589,0,3.60656,4441,90275803841
60.2278,16.6036,26.461,0,84,56,73,1772,875,3.95285,87,5.79595,0,3.60656,4441,91275889305
59.9225,16.6882,27.3752,0,84,56,72,1692,875,3.95285,87,5.79611,0,3.60656,4397,92275971544
60.0644,16.6488,32.16,0,92,56,73,1845,875,3.9527,96,5.79654,0,3.60715,4391,93276050626
60.1762,16.6179,27.2277,0,96,56,73,1849,875,3.9527,99,5.79641,0,3.60716,4436,94276127975
59.9584,16.6782,30.2589,0,91,56,73,1736,875,3.9527,94,5.79708,0,3.60703,4393,95276213440
59.8839,16.699,31.2187,0,85,56,73,1639,875,3.95262,88,5.79711,0,3.60703,4382,96276287653
59.8645,16.7044,32.7181,0,94,56,73,1850,875,3.95262,99,5.79708,0,3.60703,4357,97276363780
60.0455,16.654,32.7896,0,91,56,73,1849,875,3.95262,95,5.79706,0,3.60645,4361,98276487847
60.8987,16.4207,32.5733,0,93,56,73,1815,875,3.95262,99,5.79701,0,3.60645,4366,99276572469
59.8027,16.7216,33.1081,0,89,56,73,1840,875,3.95255,97,5.80234,0,3.61346,4342,100276651993
60.1987,16.6116,34.5104,0,94,56,73,1848,875,3.95255,98,5.80592,0,3.61705,4360,101276726867
59.2641,16.8736,33.8926,0,95,56,73,1851,875,3.95255,100,5.80609,0,3.6172,4361,102276806480
60.0282,16.6588,29.0997,0,94,56,73,1679,875,3.95239,98,5.81464,0,3.62212,4416,103276892476
59.9968,16.6676,31.4721,0,82,56,73,1746,875,3.95239,84,5.81358,0,3.62179,4366,104276977710
60.1565,16.6233,29.0997,0,87,56,73,1678,875,3.95239,90,5.81356,0,3.6218,4441,105277070087
60.0803,16.6444,34.6774,0,95,56,73,1850,875,3.95239,99,5.81358,0,3.62233,4367,106277159048
60.2199,16.6058,34.1463,0,98,56,73,1846,875,3.95239,102,5.81358,0,3.62299,4355,107277251826
59.8374,16.7119,33.5453,0,92,56,73,1832,875,3.95239,97,5.81318,0,3.62354,4366,108277458217
60.08,16.6445,31.9871,0,93,56,73,1847,875,3.95239,98,5.81273,0,3.6241,4371,109277540626
60.1237,16.6324,32.1429,0,93,56,73,1835,875,3.95224,99,5.81309,0,3.62443,4366,110277638824
59.9926,16.6687,31.0569,0,93,56,73,1850,875,3.96053,98,5.81361,0,3.62575,4364,111277721132
59.9009,16.6942,33.0632,0,94,56,73,1848,875,3.96053,98,5.81424,0,3.62575,4345,112277796758
29.6129,33.769,26.8058,0,89,56,73,1000,875,3.96077,83,5.81406,0,3.62511,4441,113277873136
59.8368,16.7121,33.3898,0,96,56,73,1847,875,3.96053,96,5.80788,0,3.61559,4345,114277948451
60.0075,16.6646,35.3896,0,97,56,74,1847,875,3.96068,102,5.79724,0,3.61259,4366,115278028545
58.8901,16.9808,32.8814,0,99,56,74,1847,875,3.96068,103,5.7952,0,3.61556,4366,116278116484
60.0866,16.6426,34.8333,0,98,56,74,1849,875,3.96068,102,5.79699,0,3.61424,4366,117278199895
60.0749,16.6459,35.0962,0,98,56,74,1848,875,3.9527,102,5.78741,0,3.5999,4391,118278290529
